Id,Ref.,Base price,Price Level,PriceLevelUnitPriceHT,PriceLevelUnitPriceTTC,MinPriceLevelUnitPriceHT,MinPriceLevelUnitPriceTTC,PriceLevelVATRate,Creation date,
331,3KT,HT,5,6.10000000,6.10000000,,,0.000,2023-05-19 00:00:00,
331,3KT,HT,6,1.27000000,1.27000000,,,0.000,2023-08-09 23:17:50,
351,3KT___16_Breakway,HT,1,0.50000000,0.50000000,,,0.000,2023-05-19 00:00:00,
351,3KT___16_Breakway,HT,2,9.35000000,9.35000000,,,0.000,2023-05-19 00:00:00,
351,3KT___16_Breakway,HT,3,7.44000000,7.44000000,,,0.000,2023-05-19 00:00:00,
351,3KT___16_Breakway,HT,4,12.00000000,12.00000000,,,0.000,2023-05-19 00:00:00,
351,3KT___16_Breakway,HT,5,0.50000000,0.50000000,,,0.000,2023-05-19 00:00:00,
351,3KT___16_Breakway,HT,6,1.50000000,1.50000000,,,0.000,2023-08-09 23:17:50,
351,3KT___16_Breakway,HT,1,0.50000000,0.50000000,0.00000000,0.00000000,0.000,2023-08-21 15:18:40,
351,3KT___16_Breakway,HT,2,0.50000000,0.50000000,0.00000000,0.00000000,0.000,2023-08-21 15:20:52,
351,3KT___16_Breakway,HT,3,0.50000000,0.50000000,0.00000000,0.00000000,0.000,2023-08-21 15:20:52,
351,3KT___16_Breakway,HT,4,0.00000000,0.00000000,0.00000000,0.00000000,0.000,2023-08-21 15:20:52,
351,3KT___16_Breakway,HT,5,0.50000000,0.50000000,0.00000000,0.00000000,0.000,2023-08-21 15:20:52,
351,3KT___16_Breakway,HT,6,1.50000000,1.50000000,0.00000000,0.00000000,0.000,2023-08-21 15:20:52,
349,3KT___8_Breakway,HT,1,0.42000000,0.42000000,,,0.000,2023-05-19 00:00:00,
349,3KT___8_Breakway,HT,2,9.35000000,9.35000000,,,0.000,2023-05-19 00:00:00,
349,3KT___8_Breakway,HT,3,7.44000000,7.44000000,,,0.000,2023-05-19 00:00:00,
349,3KT___8_Breakway,HT,4,12.00000000,12.00000000,,,0.000,2023-05-19 00:00:00,
349,3KT___8_Breakway,HT,5,8.60000000,8.60000000,,,0.000,2023-05-19 00:00:00,
349,3KT___8_Breakway,HT,6,1.42000000,1.42000000,,,0.000,2023-08-09 23:17:50,
349,3KT___8_Breakway,HT,1,0.42000000,0.42000000,0.00000000,0.00000000,0.000,2023-08-21 15:21:59,
349,3KT___8_Breakway,HT,2,0.42000000,0.42000000,0.00000000,0.00000000,0.000,2023-08-21 15:22:34,
349,3KT___8_Breakway,HT,3,0.42000000,0.42000000,0.00000000,0.00000000,0.000,2023-08-21 15:22:34,
349,3KT___8_Breakway,HT,4,0.00000000,0.00000000,0.00000000,0.00000000,0.000,2023-08-21 15:22:34,
349,3KT___8_Breakway,HT,5,0.42000000,0.42000000,0.00000000,0.00000000,0.000,2023-08-21 15:22:34,
349,3KT___8_Breakway,HT,6,1.42000000,1.42000000,0.00000000,0.00000000,0.000,2023-08-21 15:22:34,
1658,3KTT,,1,0.00000000,0.00000000,0.00000000,0.00000000,0.000,2023-08-25 12:37:07,
1658,3KTT,HT,1,0.35000000,0.35000000,0.00000000,0.00000000,0.000,2023-08-25 12:37:31,
1658,3KTT,HT,2,0.35000000,0.35000000,0.00000000,0.00000000,0.000,2023-08-25 12:37:31,
1658,3KTT,HT,3,0.35000000,0.35000000,0.00000000,0.00000000,0.000,2023-08-25 12:37:31,
1658,3KTT,HT,4,0.00000000,0.00000000,0.00000000,0.00000000,0.000,2023-08-25 12:37:31,
1658,3KTT,HT,5,0.35000000,0.35000000,0.00000000,0.00000000,0.000,2023-08-25 12:37:31,
1658,3KTT,HT,6,1.00000000,1.00000000,0.00000000,0.00000000,0.000,2023-08-25 12:37:31,
1658,3KTT,HT,6,1.35000000,1.35000000,0.00000000,0.00000000,0.000,2023-08-25 12:37:39,
1116,403B,HT,1,0.00000000,0.00000000,0.00000000,0.00000000,0.000,2023-08-21 15:23:20,
1116,403B,HT,1,9.50000000,9.50000000,0.00000000,0.00000000,0.000,2023-08-21 15:27:00,
1116,403B,HT,2,9.50000000,9.50000000,0.00000000,0.00000000,0.000,2023-08-21 15:27:00,
1116,403B,HT,3,9.50000000,9.50000000,0.00000000,0.00000000,0.000,2023-08-21 15:27:00,
1116,403B,HT,4,11.70000000,11.70000000,0.00000000,0.00000000,0.000,2023-08-21 15:27:00,
1116,403B,HT,5,8.75000000,8.75000000,0.00000000,0.00000000,0.000,2023-08-21 15:27:00,
1116,403B,HT,6,10.50000000,10.50000000,0.00000000,0.00000000,0.000,2023-08-21 15:27:00,
1117,406B,HT,1,0.00000000,0.00000000,0.00000000,0.00000000,0.000,2023-08-21 15:32:44,
1117,406B,HT,1,9.50000000,9.50000000,0.00000000,0.00000000,0.000,2023-08-21 15:33:36,
1117,406B,HT,2,9.50000000,9.50000000,0.00000000,0.00000000,0.000,2023-08-21 15:33:36,
1117,406B,HT,3,9.50000000,9.50000000,0.00000000,0.00000000,0.000,2023-08-21 15:33:36,
1117,406B,HT,4,11.70000000,11.70000000,0.00000000,0.00000000,0.000,2023-08-21 15:33:36,
1117,406B,HT,5,8.75000000,8.75000000,0.00000000,0.00000000,0.000,2023-08-21 15:33:36,
1117,406B,HT,6,10.50000000,10.50000000,0.00000000,0.00000000,0.000,2023-08-21 15:33:36,
1118,409B,HT,1,0.00000000,0.00000000,0.00000000,0.00000000,0.000,2023-08-21 15:34:15,
1118,409B,HT,1,9.50000000,9.50000000,0.00000000,0.00000000,0.000,2023-08-21 15:36:03,
1118,409B,HT,2,9.50000000,9.50000000,0.00000000,0.00000000,0.000,2023-08-21 15:36:03,
1118,409B,HT,3,9.50000000,9.50000000,0.00000000,0.00000000,0.000,2023-08-21 15:36:03,
1118,409B,HT,4,11.70000000,11.70000000,0.00000000,0.00000000,0.000,2023-08-21 15:36:03,
1118,409B,HT,5,8.75000000,8.75000000,0.00000000,0.00000000,0.000,2023-08-21 15:36:03,
